kind,x,y,z
0,0,0,0
0,50,10.5,0
0,50,21,50
1,5,1,5
1,6,2,5
1,7,3,5
1,8,4,5
1,9,5,5
1,10,6,5
1,11,7,5
1,12,8,5
1,13,9,5
1,14,9.99,5
1,5,1,6
1,6,2,6
1,7,3,6
1,8,4,6
1,9,5,6
1,10,6,6
1,11,7,6
1,12,8,6
1,13,9,6
1,14,9.99,6
1,41,12,10
1,41,13,11
1,41,14,12
1,41,15,13
1,41,16,14
1,41,17,15
1,41,18,16
1,41,19,17
1,41,19.99,18
1,42,12,10
1,42,13,11
1,42,14,12
1,42,15,13
1,42,16,14
1,42,17,15
1,42,18,16
1,42,19,17
1,42,19.99,18
2,-3,0.5,2
3,20,0.5,22
3,-35,0.5,11
3,12,0.5,-32
3,-4,0.5,22
3,44,0.5,-22
3,-38,0.5,3
3,3,0.5,-7
3,-17,0.5,42
